2.4591993216060004e6	1.0
2.4591993239208153e6	1.0
2.45919932623563e6	1.0
2.459199328550445e6	1.0
2.4591993308652597e6	1.0
2.4591993331800746e6	1.0
2.4591993354948894e6	1.0
2.4591993378097042e6	1.0
2.459199340124519e6	1.0
2.459199342439334e6	1.0
2.4591993447541487e6	1.0
2.4591993470689636e6	1.0
2.4591993493837784e6	1.0
2.4591993516985932e6	1.0
2.4591993540134076e6	1.0
2.4591993563282224e6	1.0
2.4591993586430373e6	1.0
2.459199360957852e6	1.0
2.459199363272667e6	1.0
2.4591993655874818e6	1.0
2.4591993679022966e6	1.0
2.4591993702171114e6	1.0
2.4591993725319263e6	1.0
2.459199374846741e6	1.0
2.459199377161556e6	1.0
2.4591993794763708e6	1.0
2.4591993817911856e6	1.0
2.4591993841060004e6	1.0
2.4591993864208153e6	1.0
2.45919938873563e6	1.0
2.459199391050445e6	1.0
2.4591993933652597e6	1.0
2.4591993956800746e6	1.0
2.4591993979948894e6	1.0
2.4591994003097042e6	1.0
2.459199402624519e6	1.0
2.459199404939334e6	1.0
2.4591994072541487e6	1.0
2.4591994095689636e6	1.0
2.4591994118837784e6	1.0
2.4591994141985932e6	1.0
2.4591994165134076e6	1.0
2.4591994188282224e6	1.0
2.4591994211430373e6	1.0
2.459199423457852e6	1.0
2.459199425772667e6	1.0
2.4591994280874818e6	1.0
2.4591994304022966e6	1.0
2.4591994327171114e6	1.0
2.4591994350319263e6	1.0
2.459199437346741e6	1.0
2.459199439661556e6	1.0
2.4591994419763708e6	1.0
2.4591994442911856e6	1.0
2.4591994466060004e6	1.0
2.4591994489208153e6	1.0
2.45919945123563e6	1.0
2.459199453550445e6	1.0
2.4591994558652597e6	1.0
2.4591994581800746e6	1.0
2.4591994604948894e6	1.0
2.4591994628097042e6	1.0
2.459199465124519e6	1.0
2.459199467439334e6	1.0
2.4591994697541487e6	1.0
2.4591994720689636e6	1.0
2.4591994743837784e6	1.0
2.4591994766985932e6	1.0
2.4591994790134076e6	1.0
2.4591994813282224e6	1.0
2.4591994836430373e6	1.0
2.459199485957852e6	1.0
2.459199488272667e6	1.0
2.4591994905874818e6	1.0
2.4591994929022966e6	1.0
2.4591994952171114e6	1.0
2.4591994975319263e6	1.0
2.459199499846741e6	1.0
2.459199502161556e6	1.0
2.4591995044763708e6	1.0
2.4591995067911856e6	1.0
2.4591995091060004e6	1.0
2.4591995114208153e6	1.0
2.45919951373563e6	1.0
2.459199516050445e6	1.0
2.4591995183652597e6	1.0
2.4591995206800746e6	1.0
2.4591995229948894e6	1.0
2.4591995253097042e6	1.0
2.459199527624519e6	1.0
2.459199529939334e6	1.0
2.4591995322541487e6	1.0
2.4591995345689636e6	1.0
2.4591995368837784e6	1.0
2.4591995391985932e6	1.0
2.4591995415134076e6	1.0
2.4591995438282224e6	1.0
2.4591995461430373e6	1.0
2.459199548457852e6	1.0
2.459199550772667e6	1.0
2.4591995530874818e6	1.0
2.4591995554022966e6	1.0
2.4591995577171114e6	1.0
2.4591995600319263e6	1.0
2.459199562346741e6	1.0
2.459199564661556e6	1.0
2.4591995669763708e6	1.0
2.4591995692911856e6	1.0
2.4591995716060004e6	1.0
2.4591995739208153e6	1.0
2.45919957623563e6	1.0
2.459199578550445e6	1.0
2.4591995808652597e6	1.0
2.4591995831800746e6	1.0
2.4591995854948894e6	1.0
2.4591995878097042e6	1.0
2.459199590124519e6	1.0
2.459199592439334e6	1.0
2.4591995947541487e6	1.0
2.4591995970689636e6	1.0
2.4591995993837784e6	1.0
2.4591996016985932e6	1.0
2.4591996040134076e6	1.0
2.4591996063282224e6	1.0
2.4591996086430373e6	1.0
2.459199610957852e6	1.0
2.459199613272667e6	1.0
2.4591996155874818e6	1.0
2.4591996179022966e6	1.0
2.4591996202171114e6	1.0
2.4591996225319263e6	1.0
2.459199624846741e6	1.0
2.459199627161556e6	1.0
2.4591996294763708e6	1.0
2.4591996317911856e6	1.0
2.4591996341060004e6	1.0
2.4591996364208153e6	1.0
2.45919963873563e6	1.0
2.459199641050445e6	1.0
2.4591996433652597e6	1.0
2.4591996456800746e6	1.0
2.4591996479948894e6	1.0
2.4591996503097042e6	1.0
2.459199652624519e6	1.0
2.459199654939334e6	1.0
2.4591996572541487e6	1.0
2.4591996595689636e6	1.0
2.4591996618837784e6	1.0
2.4591996641985932e6	1.0
2.4591996665134076e6	1.0
2.4591996688282224e6	1.0
2.4591996711430373e6	1.0
2.459199673457852e6	1.0
2.459199675772667e6	1.0
2.4591996780874818e6	1.0
2.4591996804022966e6	1.0
2.4591996827171114e6	1.0
2.4591996850319263e6	1.0
2.459199687346741e6	1.0
2.459199689661556e6	1.0
2.4591996919763708e6	1.0
2.4591996942911856e6	1.0
2.4591996966060004e6	1.0
2.4591996989208153e6	1.0
2.45919970123563e6	1.0
2.459199703550445e6	1.0
2.4591997058652597e6	1.0
2.4591997081800746e6	1.0
2.4591997104948894e6	1.0
2.4591997128097042e6	1.0
2.459199715124519e6	1.0
2.459199717439334e6	1.0
2.4591997197541487e6	1.0
2.4591997220689636e6	1.0
2.4591997243837784e6	1.0
2.4591997266985932e6	1.0
2.4591997290134076e6	1.0
2.4591997313282224e6	1.0
2.4591997336430373e6	1.0
2.459199735957852e6	1.0
2.459199738272667e6	1.0
2.4591997405874818e6	1.0
2.4591997429022966e6	1.0
2.4591997452171114e6	1.0
2.4591997475319263e6	1.0
2.459199749846741e6	1.0
2.459199752161556e6	1.0
2.4591997544763708e6	1.0
2.4591997567911856e6	1.0
2.4591997591060004e6	1.0
2.4591997614208153e6	1.0
2.45919976373563e6	1.0
2.459199766050445e6	1.0
2.4591997683652597e6	1.0
2.4591997706800746e6	1.0
2.4591997729948894e6	1.0
2.4591997753097042e6	1.0
2.459199777624519e6	1.0
2.459199779939334e6	1.0
2.4591997822541487e6	1.0
2.4591997845689636e6	1.0
2.4591997868837784e6	1.0
2.4591997891985932e6	1.0
2.4591997915134076e6	1.0
2.4591997938282224e6	1.0
2.4591997961430373e6	1.0
2.459199798457852e6	1.0
2.459199800772667e6	1.0
2.4591998030874818e6	1.0
2.4591998054022966e6	1.0
2.4591998077171114e6	1.0
2.4591998100319263e6	1.0
2.459199812346741e6	1.0
2.459199814661556e6	1.0
2.4591998169763708e6	1.0
2.4591998192911856e6	1.0
2.4591998216060004e6	1.0
2.4591998239208153e6	1.0
2.45919982623563e6	1.0
2.459199828550445e6	1.0
2.4591998308652597e6	1.0
2.4591998331800746e6	1.0
2.4591998354948894e6	1.0
2.4591998378097042e6	1.0
2.459199840124519e6	1.0
2.459199842439334e6	1.0
2.4591998447541487e6	1.0
2.4591998470689636e6	1.0
2.4591998493837784e6	1.0
2.4591998516985932e6	1.0
2.4591998540134076e6	1.0
2.4591998563282224e6	1.0
2.4591998586430373e6	1.0
2.459199860957852e6	1.0
2.459199863272667e6	1.0
2.4591998655874818e6	1.0
2.4591998679022966e6	1.0
2.4591998702171114e6	1.0
2.4591998725319263e6	1.0
2.459199874846741e6	1.0
2.459199877161556e6	1.0
2.4591998794763708e6	1.0
2.4591998817911856e6	1.0
2.4591998841060004e6	1.0
2.4591998864208153e6	1.0
2.45919988873563e6	1.0
2.459199891050445e6	1.0
2.4591998933652597e6	1.0
2.4591998956800746e6	1.0
2.4591998979948894e6	1.0
2.4591999003097042e6	1.0
2.459199902624519e6	1.0
2.459199904939334e6	1.0
2.4591999072541487e6	1.0
2.4591999095689636e6	1.0
2.4591999118837784e6	1.0
2.4591999141985932e6	1.0
2.4591999165134076e6	1.0
2.4591999188282224e6	1.0
2.4591999211430373e6	1.0
2.459199923457852e6	1.0
2.459199925772667e6	1.0
2.4591999280874818e6	1.0
2.4591999304022966e6	1.0
2.4591999327171114e6	1.0
2.4591999350319263e6	1.0
2.459199937346741e6	1.0
2.459199939661556e6	1.0
2.4591999419763708e6	1.0
2.4591999442911856e6	1.0
2.4591999466060004e6	1.0
2.4591999489208153e6	1.0
2.45919995123563e6	1.0
2.459199953550445e6	1.0
2.4591999558652597e6	1.0
2.4591999581800746e6	1.0
2.4591999604948894e6	1.0
2.4591999628097042e6	1.0
2.459199965124519e6	1.0
2.459199967439334e6	1.0
2.4591999697541487e6	1.0
2.4591999720689636e6	1.0
2.4591999743837784e6	1.0
2.4591999766985932e6	1.0
2.4591999790134076e6	1.0
2.4591999813282224e6	1.0
2.4591999836430373e6	1.0
2.459199985957852e6	1.0
2.459199988272667e6	1.0
2.4591999905874818e6	1.0
2.4591999929022966e6	1.0
2.4591999952171114e6	1.0
2.4591999975319263e6	1.0
2.459199999846741e6	1.0
2.459200002161556e6	1.0
2.4592000044763708e6	1.0
2.4592000067911856e6	1.0
2.4592000091060004e6	1.0
2.4592000114208153e6	1.0
2.45920001373563e6	1.0
2.459200016050445e6	1.0
2.4592000183652597e6	1.0
2.4592000206800746e6	1.0
2.4592000229948894e6	1.0
2.4592000253097042e6	1.0
2.459200027624519e6	1.0
2.459200029939334e6	1.0
2.4592000322541487e6	1.0
2.4592000345689636e6	1.0
2.4592000368837784e6	1.0
2.4592000391985932e6	1.0
2.4592000415134076e6	1.0
2.4592000438282224e6	1.0
2.4592000461430373e6	1.0
2.459200048457852e6	1.0
2.459200050772667e6	1.0
2.4592000530874818e6	1.0
2.4592000554022966e6	1.0
2.4592000577171114e6	1.0
2.4592000600319263e6	1.0
2.459200062346741e6	1.0
2.459200064661556e6	1.0
2.4592000669763708e6	1.0
2.4592000692911856e6	1.0
