#From tic172518755_20201217_ulmt_rp_datasubset.dat
#BJD_TDB	rel_flux_T1_n
2459200.945104	0.998505      
2459200.945996	0.998372      
2459200.946886	0.998616      
2459200.947776	0.998092      
2459200.948667	0.998890      
2459200.949557	0.998473      
2459200.950448	0.997934      
2459200.951338	0.998123      
2459200.952228	0.999610      
2459200.953118	0.998269      
2459200.954009	0.998101      
2459200.954899	0.998318      
2459200.955790	0.997915      
2459200.956680	0.998890      
2459200.957570	0.997809      
2459200.958461	0.998559      
2459200.959351	0.999123      
2459200.960241	0.997918      
2459200.961131	0.997343      
2459200.962022	0.998301      
2459200.962912	0.999669      
2459200.963802	0.998235      
2459200.964694	0.998933      
2459200.965584	0.999127      
2459200.966475	0.999749      
2459200.967366	0.999010      
2459200.968256	0.998176      
2459200.969146	0.998736      
2459200.970036	0.999196      
2459200.970927	0.999671      
2459200.971817	0.998113      
2459200.972707	0.999710      
2459200.973598	0.999146      
2459200.974488	0.999594      
2459200.975378	1.000081      
2459200.976268	0.999928      
2459200.977158	1.000225      
2459200.978049	1.000644      
2459200.978939	1.000739      
2459200.979829	1.000053      
2459200.980719	0.998576      
2459200.981610	0.999972      
2459200.982500	1.000803      
2459200.983390	0.999794      
2459200.984281	1.001924      
2459200.985172	0.999578      
2459200.986062	1.001045      
2459200.986953	1.000827      
2459200.987843	1.000413      
2459200.988733	1.000175      
2459200.989624	0.999937      
2459200.990514	0.999282      
2459200.991405	1.000073      
2459200.992295	1.000196      
2459200.993186	1.000269      
2459200.994076	0.999129      
2459200.994966	0.999725      
2459200.995856	1.001635      
2459200.996747	1.001108      
2459200.997637	1.000509      
2459200.998528	1.000282      
2459200.999419	1.000433      
2459201.000309	1.001188      
2459201.001199	1.001574      
2459201.002089	1.000032      
2459201.002979	1.000022      
2459201.003870	1.000198      
2459201.004760	0.999913      
2459201.005650	1.001306      
2459201.006541	1.000380      
2459201.007431	0.999397      
2459201.008321	0.999894      
2459201.009212	0.999453      
2459201.010102	0.999726      
2459201.010992	1.000289      
2459201.011883	0.999319      
2459201.012773	1.001095      
2459201.013665	0.999802      
2459201.014555	1.000509      
2459201.015446	1.000198      
2459201.016336	1.000070      
2459201.017226	0.997893      
2459201.018117	1.000349      
2459201.019007	1.000233      
2459201.019898	1.000676      
2459201.020788	0.998854      
2459201.021680	0.999665      
2459201.022570	0.999734      
2459201.023460	0.999862      
2459201.024351	0.999814      
2459201.025241	1.001015      
2459201.026132	1.000740      
2459201.027024	1.001122      
2459201.027914	0.998530      
2459201.028804	1.000077      
2459201.029695	0.999774      
2459201.030585	0.999703      
2459201.031475	1.000583      
2459201.032366	1.000287      
2459201.033256	0.999322      
2459201.034147	1.000598      
2459201.035037	1.000447      
2459201.035928	0.998896      
2459201.036818	0.999713      
2459201.037709	0.998947      
2459201.038600	0.999874      
2459201.039490	1.000579      
2459201.040380	0.999072      
2459201.041271	0.999293      
2459201.042160	0.998894      
2459201.043051	0.999888      
2459201.043941	0.999832      
2459201.044831	1.000503      
2459201.045722	0.999237      
2459201.046614	0.998640      
2459201.047504	0.999706      
2459201.048395	0.999831      
2459201.049285	0.999383      
2459201.050176	0.998717      
2459201.051066	0.999649      
2459201.051957	0.999588      
2459201.052847	0.998648      
2459201.053737	0.999938      
